,n_step,energy,average_magnetization
483,483.0,-53.0,-0.005
484,484.0,-61.0,-0.085
485,485.0,-81.0,-0.17
486,486.0,-43.0,-0.04
487,487.0,-83.0,-0.015
488,488.0,-47.0,0.095
489,489.0,-55.0,-0.035
490,490.0,-35.0,-0.01
491,491.0,-41.0,0.005
492,492.0,-71.0,0.16
493,493.0,-41.0,0.08
494,494.0,-45.0,-0.02
495,495.0,-37.0,0.09
496,496.0,-35.0,0.08
497,497.0,-43.0,0.03
498,498.0,-61.0,0.04
499,499.0,-47.0,-0.07
500,500.0,-63.0,-0.09
501,501.0,-57.0,0.015
502,502.0,-37.0,0.015
503,503.0,-35.0,0.07
504,504.0,-71.0,0.065
505,505.0,-87.0,-0.015
506,506.0,-63.0,0.035
507,507.0,-73.0,0.045
508,508.0,-23.0,0.105
509,509.0,-73.0,0.06
510,510.0,-41.0,0.005
511,511.0,5.0,0.02
512,512.0,-49.0,0.03
513,513.0,-45.0,-0.05
514,514.0,-47.0,-0.06
515,515.0,-43.0,0.0
516,516.0,-7.0,0.04
517,517.0,-37.0,0.085
518,518.0,-41.0,0.04
519,519.0,-61.0,-0.015
520,520.0,-27.0,0.06
521,521.0,-45.0,0.015
522,522.0,-71.0,-0.06
523,523.0,-61.0,-0.095
524,524.0,-55.0,-0.06
525,525.0,-41.0,-0.005
526,526.0,-27.0,-0.1
527,527.0,-61.0,-0.01
528,528.0,-47.0,-0.15
529,529.0,-31.0,-0.09
530,530.0,-33.0,-0.005
531,531.0,-31.0,0.02
532,532.0,-33.0,-0.02
533,533.0,-51.0,-0.055
534,534.0,-23.0,-0.015
535,535.0,-5.0,-0.06
536,536.0,-23.0,-0.04
537,537.0,-25.0,0.04
538,538.0,-45.0,-0.095
539,539.0,-39.0,-0.135
540,540.0,-27.0,-0.055
541,541.0,-39.0,-0.115
542,542.0,-51.0,0.01
543,543.0,-45.0,0.04
544,544.0,-49.0,-0.03
545,545.0,-43.0,-0.015
546,546.0,-51.0,-0.04
547,547.0,-37.0,-0.005
548,548.0,-39.0,0.06
549,549.0,-45.0,0.01
550,550.0,-29.0,-0.025
551,551.0,-57.0,0.04
552,552.0,-17.0,-0.1
553,553.0,-65.0,0.0
554,554.0,-27.0,-0.02
555,555.0,-55.0,-0.025
556,556.0,-23.0,-0.01
557,557.0,-51.0,-0.115
558,558.0,-35.0,-0.05
559,559.0,-37.0,-0.055
560,560.0,-67.0,-0.025
561,561.0,-45.0,-0.005
562,562.0,-49.0,-0.055
563,563.0,-57.0,-0.02
564,564.0,-41.0,0.065
565,565.0,-51.0,0.01
566,566.0,-7.0,-0.07
567,567.0,-53.0,0.0
568,568.0,-29.0,0.0
569,569.0,-39.0,-0.075
570,570.0,-73.0,0.005
571,571.0,-69.0,-0.02
572,572.0,-45.0,-0.03
573,573.0,-83.0,-0.065
574,574.0,-45.0,-0.02
575,575.0,-45.0,0.01
576,576.0,-51.0,0.065
577,577.0,-47.0,0.02
578,578.0,-53.0,0.015
579,579.0,-39.0,-0.07
580,580.0,-41.0,-0.01
581,581.0,-27.0,-0.08
582,582.0,-83.0,-0.005
583,583.0,-69.0,0.065
584,584.0,-57.0,0.005
585,585.0,-7.0,-0.04
586,586.0,-37.0,-0.115
587,587.0,-51.0,0.03
588,588.0,-29.0,-0.005
589,589.0,-63.0,-0.04
590,590.0,-61.0,0.035
591,591.0,-53.0,0.09
592,592.0,-49.0,0.035
593,593.0,-37.0,0.075
594,594.0,-23.0,-0.06
595,595.0,-29.0,0.015
596,596.0,-33.0,-0.01
597,597.0,11.0,0.0
598,598.0,-53.0,0.085
599,599.0,-41.0,0.025
600,600.0,-41.0,0.065
601,601.0,-29.0,0.015
602,602.0,-33.0,-0.14
603,603.0,-55.0,-0.045
604,604.0,-39.0,0.085
605,605.0,-31.0,-0.015
606,606.0,-57.0,-0.055
607,607.0,-45.0,0.005
608,608.0,-45.0,0.095
609,609.0,-23.0,0.025
610,610.0,-67.0,0.045
611,611.0,-41.0,-0.105
612,612.0,-43.0,0.03
613,613.0,-33.0,0.09
614,614.0,-49.0,0.01
615,615.0,-33.0,-0.06
616,616.0,-21.0,-0.065
617,617.0,-39.0,-0.04
618,618.0,-55.0,0.045
619,619.0,-49.0,0.015
620,620.0,-19.0,0.055
621,621.0,-65.0,-0.01
622,622.0,-49.0,-0.07
623,623.0,-39.0,0.06
624,624.0,-37.0,0.005
625,625.0,-41.0,-0.01
626,626.0,-53.0,-0.015
627,627.0,-43.0,0.085
628,628.0,-65.0,0.02
629,629.0,-55.0,0.035
630,630.0,-39.0,0.095
631,631.0,-79.0,0.105
632,632.0,-93.0,0.015
633,633.0,-63.0,-0.115
634,634.0,-53.0,-0.145
635,635.0,-71.0,-0.115
636,636.0,-45.0,-0.07
637,637.0,-61.0,-0.09
638,638.0,-67.0,0.06
639,639.0,-33.0,0.04
640,640.0,-35.0,-0.02
641,641.0,-21.0,0.14
642,642.0,-59.0,0.14
643,643.0,-49.0,0.0
644,644.0,-75.0,0.085
645,645.0,-99.0,0.005
646,646.0,-83.0,0.055
647,647.0,-59.0,0.07
648,648.0,-49.0,0.07
649,649.0,-25.0,0.05
650,650.0,5.0,-0.015
651,651.0,-17.0,0.145
652,652.0,-71.0,0.135
653,653.0,-85.0,-0.165
654,654.0,-73.0,-0.15
655,655.0,-37.0,-0.04
656,656.0,-53.0,-0.025
657,657.0,-25.0,-0.015
658,658.0,-67.0,0.145
659,659.0,-49.0,-0.005
660,660.0,-63.0,-0.02
661,661.0,-51.0,0.015
662,662.0,-1.0,0.015
663,663.0,-53.0,-0.055
664,664.0,-55.0,-0.075
665,665.0,-53.0,-0.035
666,666.0,1.0,0.02
667,667.0,-53.0,0.025
668,668.0,-35.0,-0.02
669,669.0,-41.0,0.055
670,670.0,-33.0,-0.005
671,671.0,-41.0,-0.025
672,672.0,-47.0,0.1
673,673.0,-59.0,-0.005
674,674.0,-57.0,0.045
675,675.0,-49.0,0.04
676,676.0,-49.0,0.06
677,677.0,-25.0,0.045
678,678.0,-33.0,0.075
679,679.0,-33.0,0.08
680,680.0,-29.0,0.015
681,681.0,-33.0,0.005
682,682.0,-39.0,0.005
683,683.0,-3.0,-0.03
684,684.0,-29.0,0.04
685,685.0,-35.0,-0.01
686,686.0,-33.0,-0.01
687,687.0,-63.0,-0.055
688,688.0,-71.0,-0.035
689,689.0,-57.0,-0.135
690,690.0,-67.0,-0.04
691,691.0,-43.0,0.005
692,692.0,-83.0,0.01
693,693.0,-55.0,-0.045
694,694.0,-55.0,-0.055
695,695.0,-59.0,-0.02
696,696.0,-47.0,0.045
697,697.0,-53.0,-0.105
698,698.0,-65.0,-0.07
699,699.0,-61.0,-0.075
700,700.0,-51.0,-0.03
701,701.0,-67.0,-0.095
702,702.0,-63.0,0.03
703,703.0,-29.0,0.03
704,704.0,-59.0,0.025
705,705.0,-37.0,-0.03
706,706.0,-31.0,-0.12
707,707.0,-17.0,-0.035
708,708.0,-35.0,-0.05
709,709.0,-51.0,-0.055
710,710.0,-41.0,-0.035
711,711.0,-71.0,-0.01
712,712.0,-65.0,0.03
713,713.0,-43.0,0.015
714,714.0,-69.0,-0.03
715,715.0,-43.0,-0.035
716,716.0,-41.0,0.0
717,717.0,-53.0,0.105
718,718.0,-55.0,0.09
719,719.0,-49.0,-0.01
720,720.0,-37.0,0.055
721,721.0,-49.0,0.065
722,722.0,-47.0,0.035
723,723.0,7.0,-0.03
724,724.0,-61.0,0.055
725,725.0,-53.0,0.015
726,726.0,-41.0,-0.025
727,727.0,-67.0,-0.09
728,728.0,-45.0,0.055
729,729.0,-11.0,-0.06
730,730.0,-17.0,-0.08
731,731.0,-19.0,0.03
732,732.0,-43.0,-0.01
733,733.0,-33.0,-0.045
734,734.0,-47.0,0.03
735,735.0,-51.0,-0.025
736,736.0,-33.0,-0.01
737,737.0,-61.0,-0.01
738,738.0,-43.0,-0.05
739,739.0,-31.0,0.015
740,740.0,-75.0,-0.015
741,741.0,-47.0,0.085
742,742.0,-51.0,0.015
743,743.0,-39.0,0.035
744,744.0,-69.0,0.0
745,745.0,-41.0,0.09
746,746.0,-57.0,0.04
747,747.0,-57.0,0.015
748,748.0,-27.0,0.065
749,749.0,-73.0,0.055
750,750.0,-67.0,0.09
751,751.0,-55.0,0.035
752,752.0,-27.0,0.01
753,753.0,-29.0,-0.03
754,754.0,-49.0,-0.03
755,755.0,-39.0,-0.025
756,756.0,-27.0,-0.08
757,757.0,-29.0,0.015
758,758.0,-57.0,0.02
759,759.0,-65.0,-0.08
760,760.0,-33.0,0.005
761,761.0,-67.0,0.07
762,762.0,-75.0,0.0
763,763.0,-27.0,-0.08
764,764.0,-41.0,-0.07
765,765.0,-45.0,-0.075
766,766.0,-69.0,0.015
767,767.0,-41.0,0.085
768,768.0,-47.0,0.04
769,769.0,-51.0,0.045
770,770.0,-71.0,0.075
771,771.0,-7.0,0.095
772,772.0,-27.0,0.055
773,773.0,-39.0,0.03
774,774.0,-39.0,-0.015
775,775.0,-39.0,-0.01
776,776.0,-55.0,-0.07
777,777.0,-79.0,-0.16
778,778.0,-43.0,-0.07
779,779.0,-37.0,-0.13
780,780.0,-85.0,-0.045
781,781.0,-53.0,0.095
782,782.0,-23.0,-0.085
783,783.0,-45.0,0.1
784,784.0,-7.0,0.025
785,785.0,-27.0,-0.075
786,786.0,-39.0,-0.08
