,n_step,energy,average_magnetization
765,765.0,-676.0,-0.935
766,766.0,-686.0,-0.94
767,767.0,-708.0,-0.965
768,768.0,-678.0,-0.935
769,769.0,-686.0,-0.94
770,770.0,-688.0,-0.935
771,771.0,-684.0,-0.93
772,772.0,-668.0,-0.915
773,773.0,-704.0,-0.95
774,774.0,-712.0,-0.955
775,775.0,-704.0,-0.95
776,776.0,-682.0,-0.935
777,777.0,-682.0,-0.925
778,778.0,-676.0,-0.92
779,779.0,-658.0,-0.925
780,780.0,-682.0,-0.925
781,781.0,-694.0,-0.935
782,782.0,-652.0,-0.905
783,783.0,-668.0,-0.92
784,784.0,-666.0,-0.9
785,785.0,-676.0,-0.89
786,786.0,-644.0,-0.855
787,787.0,-686.0,-0.865
788,788.0,-674.0,-0.87
789,789.0,-670.0,-0.865
790,790.0,-654.0,-0.865
791,791.0,-638.0,-0.85
792,792.0,-636.0,-0.875
793,793.0,-644.0,-0.835
794,794.0,-644.0,-0.85
795,795.0,-664.0,-0.88
796,796.0,-644.0,-0.83
797,797.0,-618.0,-0.855
798,798.0,-660.0,-0.875
799,799.0,-656.0,-0.85
800,800.0,-654.0,-0.87
801,801.0,-666.0,-0.91
802,802.0,-652.0,-0.905
803,803.0,-642.0,-0.91
804,804.0,-660.0,-0.93
805,805.0,-662.0,-0.91
806,806.0,-688.0,-0.925
807,807.0,-678.0,-0.93
808,808.0,-674.0,-0.92
809,809.0,-690.0,-0.93
810,810.0,-678.0,-0.915
811,811.0,-686.0,-0.92
812,812.0,-714.0,-0.95
813,813.0,-664.0,-0.91
814,814.0,-678.0,-0.93
815,815.0,-670.0,-0.915
816,816.0,-686.0,-0.93
817,817.0,-668.0,-0.925
818,818.0,-658.0,-0.895
819,819.0,-598.0,-0.825
820,820.0,-620.0,-0.825
821,821.0,-616.0,-0.85
822,822.0,-652.0,-0.865
823,823.0,-658.0,-0.89
824,824.0,-654.0,-0.885
825,825.0,-628.0,-0.855
826,826.0,-624.0,-0.86
827,827.0,-644.0,-0.9
828,828.0,-656.0,-0.9
829,829.0,-642.0,-0.91
830,830.0,-682.0,-0.93
831,831.0,-716.0,-0.965
832,832.0,-710.0,-0.965
833,833.0,-720.0,-0.97
834,834.0,-700.0,-0.955
835,835.0,-710.0,-0.96
836,836.0,-710.0,-0.965
837,837.0,-698.0,-0.955
838,838.0,-688.0,-0.94
839,839.0,-676.0,-0.92
840,840.0,-662.0,-0.895
841,841.0,-650.0,-0.895
842,842.0,-634.0,-0.88
843,843.0,-674.0,-0.885
844,844.0,-660.0,-0.86
845,845.0,-606.0,-0.83
846,846.0,-612.0,-0.83
847,847.0,-640.0,-0.84
848,848.0,-686.0,-0.895
849,849.0,-672.0,-0.905
850,850.0,-656.0,-0.875
851,851.0,-682.0,-0.91
852,852.0,-700.0,-0.925
853,853.0,-650.0,-0.905
854,854.0,-686.0,-0.935
855,855.0,-714.0,-0.955
856,856.0,-700.0,-0.925
857,857.0,-684.0,-0.93
858,858.0,-670.0,-0.895
859,859.0,-708.0,-0.94
860,860.0,-678.0,-0.93
861,861.0,-700.0,-0.955
862,862.0,-700.0,-0.955
863,863.0,-688.0,-0.94
864,864.0,-678.0,-0.935
865,865.0,-662.0,-0.9
866,866.0,-650.0,-0.89
867,867.0,-650.0,-0.9
868,868.0,-670.0,-0.92
869,869.0,-712.0,-0.95
870,870.0,-732.0,-0.975
